Time(s),Voltage(V)
-5.913756,-0.00935742
-5.9136642,-0.00789258
-5.9135724,-0.0020332
-5.9134806,-0.00886914
-5.9133888,-0.0147285
-5.913297,-0.010334
-5.9132052,-0.00154492
-5.9131134,-0.0152168
-5.9130216,-0.013752
-5.9129298,-0.00545117
-5.912838,-0.010334
-5.9127462,-0.00252148
-5.9126544,-0.00349805
-5.9125626,-0.0132637
-5.9124708,-0.0254707
-5.912379,-0.00398633
-5.9122872,0.00773242
-5.9121954,-0.0274238
-5.9121036,-0.013752
-5.9120118,-0.0166816
-5.91192,-0.0108223
-5.9118282,-8.00781e-05
-5.9117364,0.0082207
-5.9116446,-0.00838086
-5.9115528,-0.00545117
-5.911461,-0.00300977
-5.9113692,0.00284961
-5.9112774,-0.00349805
-5.9111856,-0.00252148
-5.9110938,-8.00781e-05
-5.911002,0.0106621
-5.9109102,0.00480273
-5.9108184,0.00968555
-5.9107266,-8.00781e-05
-5.9106348,-0.00154492
-5.910543,0.00284961
-5.9104512,0.0057793
-5.9103594,0.00773242
-5.9102676,-0.00154492
-5.9101758,0.012127
-5.910084,0.00968555
-5.9099922,0.0160332
-5.9099004,0.00870898
-5.9098086,0.0306816
-5.9097168,0.020916
-5.909625,0.00675586
-5.9095332,0.00675586
-5.9094414,0.000408203
-5.9093496,0.00724414
-5.9092578,0.00236133
-5.909166,-8.00781e-05
-5.9090742,0.017498
-5.9089824,0.0126152
-5.9088906,0.00626758
-5.9087988,0.0057793
-5.908707,0.00626758
-5.9086152,0.00431445
-5.9085234,0.00773242
-5.9084316,-0.0181465
-5.9083398,0.00529102
-5.908248,0.0228691
-5.9081562,0.0257988
-5.9080644,0.0389824
-5.9079726,0.0160332
-5.9078808,0.0155449
-5.907789,0.00870898
-5.9076972,0.00529102
-5.9076054,0.0179863
-5.9075136,0.00529102
-5.9074218,0.0126152
-5.90733,0.0248223
-5.9072382,0.020916
-5.9071464,0.0204277
-5.9070546,0.0214043
-5.9069628,0.0106621
-5.906871,0.0160332
-5.9067792,0.0248223
-5.9066874,0.0223809
-5.9065956,0.0248223
-5.9065038,0.0502129
-5.906412,-0.00252148
-5.9063202,0.00480273
-5.9062284,0.00870898
-5.9061366,0.000896484
-5.9060448,0.00480273
-5.905953,-0.00154492
-5.9058612,0.00431445
-5.9057694,-0.00154492
-5.9056776,0.00431445
-5.9055858,0.000896484
-5.905494,0.000408203
-5.9054022,0.00773242
-5.9053104,0.00187305
-5.9052186,0.00236133
-5.9051268,0.00382617
-5.905035,-0.00398633
-5.9049432,0.00431445
-5.9048514,0.000408203
-5.9047596,0.00675586
-5.9046678,-0.00105664
-5.904576,0.00480273
-5.9044842,-0.0020332
-5.9043924,-0.00593945
-5.9043006,0.00529102
-5.9042088,-8.00781e-05
-5.904117,0.0106621
-5.9040252,0.000408203
-5.9039334,0.0140801
